;Sonntag, 28.08.2011;;;;
4;SC Bleche/Germinghausen II;SV Ottfingen III;12:30;;*
Springob, Eberhard;;;;;
Sportplatz Bleche // In der Lumicke // 57489 DROLSHAGEN;;;;;
;Sonntag, 04.09.2011;;;;
2;SV Hützemert II;FC Möllmicke II;12:30;;
Waßersleben, Wolfgang;;;;;
Sportplatz Hützemert // Am Sportplatz // 57489 DROLSHAGEN;;;;;
3;SG Kleusheim/Elben III;SV Hillmicke II;12:30;;*
Stahlhacke, Albert;;;;;
Sportplatz Altenkleusheim // Zum Alten Heck // 57462 Olpe;;;;;
4;SC Bleche/Germinghausen II;SV Ottfingen III;12:45;28.08.2011 12:30;
5;TuS Rhode II;SpVg. Iseringhausen;13:00;;*
Padberg, Marcel;;;;;
Sportplatz Rhode // Am Kreuzberg // 57462 Olpe;;;;;
6;TuS Belmicke-Benolpe;VfR Rüblinghausen II;15:00;;*
Tsapanidis, Wasilios;;;;;
Sportplatz Belmicke // Peter-Butz-Str. // 51702 Bergneustadt;;;;;
7;FC Inter Olpe;SC Drolshagen III;15:00;;*
Colak, Hüseyin;;;;;
Sportplatz Altenkleusheim // Zum Alten Heck // 57462 Olpe;;;;;
1;SV Dahl-Friedrichsthal II;SPIELFREI;;;
;Mittwoch, 07.09.2011;;;;
8;SV Ottfingen III;SG Kleusheim/Elben III;19:30;;*
Scherer, Hermann-Josef;;;;;
Sportplatz Ottfingen // Thomasstraße // 57482 Wenden;;;;;
;Sonntag, 11.09.2011;;;;
8;SV Ottfingen III;SG Kleusheim/Elben III;11:30;07.09.2011 19:30;
14;FC Möllmicke II;SC Bleche/Germinghausen II;12:15;;*
Reichling, Manfred;;;;;
Schulzentrum Wenden // Peter-Dassis-Ring 47 // 57482 Wenden;;;;;
13;SV Dahl-Friedrichsthal II;SV Hützemert II;12:30;;*
Hoehn, Ulrich Erwin;;;;;
Sportplatz Dahl-Friedrichsthal // Raiffeisenstr. 23 // 57462 Olpe;;;;;
9;SC Drolshagen III;TuS Rhode II;12:45;;*
Koch, Achim;;;;;
Sportplatz Drolshagen // Am Buscheid // 57489 Drolshagen;;;;;
10;SV Hillmicke II;FC Inter Olpe;12:45;;*
Tsapanidis, Wasilios;;;;;
Sportplatz Hillmicke // Am Fockenberg // 57482 Wenden;;;;;
